"Certificate ID","Repository","Repository Link","Type","Venue","Check date","Report","Title","Paper reference","OpenAlex","Paper authors","Paper author ORCIDs","Codecheckers","Codechecker ORCIDs","Summary","Source"
"2022-009","osf::94VNX","https://osf.io/94VNX","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/94vnx","""Landmark Route"": A Comparison to the Shortest Route","https://doi.org/10.5194/agile-giss-3-12-2022","https://openalex.org/W4281784263","Eva Nuhn; Franziska König; Sabine Timpf","0000-0003-2443-8122; 0000-0002-7964-4110","Frank O. Ostermann","0000-0002-9317-8291","The paper presents a type of study that is highly valuable as a scientific contribution yet almost impossible to reproduce: a survey and user study involving participants from a convenience sample of a university course, implemented in several phases and using a particular geographic locale. The  study aims to learn more about user preferences on route choice, i.e., whether users prefer the  shortest route or a slightly longer route including landmarks. However, the difficult pandemic conditions under which the study had to be carried out had at least one positive aspect on replicability: The entire communication and survey had to be carried out online, facilitating a similar setup elsewhere. This review there fore attempts not a full reproduction of the study, but evaluates two distinct things:  First, whether there is sufficient information available to replicate the study elsewhere and compare results. Second, whether the statistical analysis of the survey and experimental data is indeed reproducible. The evaluation for both is positive.
",
"2022-010","osf::8B7MR","https://osf.io/8B7MR","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/8b7mr","Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment","https://doi.org/10.5194/agile-giss-3-13-2022","https://openalex.org/W4281732658","Yousef Qamaz; Angela Schwering; Janina Bistron",,"Daniel Nüst","0000-0002-0024-5046","The article present an experimental evaluation of a positioning system.
Naturally, the physical/practical experiments could not be reproduced as part of this check of the computational reproducibility.
However, the one figure in the article that is based on the data from the experiment, as well as the software for running the experiment shown in screenshots in the paper could be reproduced by me.
With respect to the computational aspects and data visualisation, the given paper is reproducible.
",
"2022-011","osf::KF8SR","https://osf.io/KF8SR","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/kf8sr","Understanding COVID-19 Effects on Mobility: A Community-Engaged Approach","https://doi.org/10.5194/agile-giss-3-14-2022","https://openalex.org/W4281763766","Arun Sharma; Majid Farhadloo; Yan Li; Jayant Gupta; Aditya Kulkarni; Shashi Shekhar","0000-0001-7028-9928; 0000-0001-8981-6417","Philipp A. Friese","0000-0002-3124-5364","The software of the paper under reproduction is publicly available on GitHub.
The majority of data sets are publicly available in a Google Drive folder.
One data set is not available due to privacy policy concerns.
Out of the 17 Figures in the paper, 10 are eligible for reproduction.
Out of the 10 eligible Figures, 8 Figures where successfully reproduced, one Figure was partially reproduced and one Figure was not reproducible.
Reproduction was partially successful.
",
"2022-012","osf::R6PSQ","https://osf.io/R6PSQ","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/r6psq","The Impact of Built Environment on Bike Commuting: Utilising Strava Bike Data and Geographically Weighted Models","https://doi.org/10.5194/agile-giss-3-15-2022","https://openalex.org/W4282006514","Hyesop Shin; Costanza Cagnina; Anahid Basiri","0000-0002-2399-1797","Rémy Decoupes","0000-0003-0863-9581","The authors provide all the data and code in their GitHub repository. From a fresh install of R, the software environment is easily set up. The authors provide one R script and one computational notebook, which could be executed successfully to create all the paper's figures.
",
"2022-013","osf::3G9S8","https://osf.io/3G9S8","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/3g9s8","GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text","https://doi.org/10.5194/agile-giss-3-16-2022","https://openalex.org/W4281885045","Mehtab Alam Syed; Elena Arsevska; Mathieu Roche; Maguelonne Teisseire","0000-0003-3696-0030; 0000-0002-6693-2316; 0000-0003-3272-8568; 0000-0001-9313-6414","Jakub Krukar","0000-0003-2615-8757","The main contribution of the paper are two web applications on the streamlit.io platform.
The paper includes the DASA section and links to live online instances of the applications, as well as to GitHub repositories with the code and data.  The repositories are well documented.
I was able to clone the repositories and run the code, reproducing examples demonstrated on figures in the paper.
One of the reproduced figures differed from the one presented in the paper. 
The tables demonstrating results of the evaluation of the app were partially reproducible but returned slightly different values.
The paper has been partially reproduced.
",
"2022-014","osf::6S2GP","https://osf.io/6S2GP","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/6s2gp","A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area","https://doi.org/10.5194/agile-giss-3-17-2022","https://openalex.org/W4281833313","Marie-Dominique Van Damme; Ana-Maria Olteanu-Raimond","0000-0002-0007-5972","Philipp A. Friese","0000-0002-3124-5364","The software of the paper under reproduction is publicly available on GitHub.
The data sets are publicly available in a zenodo project.
Out of the four Figures and four Tables, two Figures and two Tables are eligible for reproduction.
Both eligible Figures have been successfully reproduced.
Both eligible Tables have been partially reproduced. The reproduction of Table 3 and 4 was partial as the provided software scripts comprise reproduction of one out of the four data columns. The remaining columns are expected to be reproducible after adjusting the scripts with references to the remaining data sets.
The authors showed concern and dedication to improve reproducibility of their work.
Reproduction was partially successful.
",
"2022-015","osf::MVQCW","https://osf.io/MVQCW","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/mvqcw","Unlocking social network analysis methods for studying human mobility","https://doi.org/10.5194/agile-giss-3-19-2022",,"Nina Wiedemann; Henry Martin; Martin Raubal","0000-0002-8160-7634","Jakub Krukar","0000-0003-2615-8757","The paper provides a link to a GitHub repository that was initially difficult to use but was promptly improved by the authors after an email exchange.
The repository contains only one out of two datasets presented in the paper but most results based on this dataset have been successfully reproduced with minor disparities due to automated scaling of graphs.
In sum, the manuscript has been partially reproduced.
The repository is well-documented, it includes the documentation of required software versions, and the authors’ response to questions and bugs has been prompt and helpful.
",
"2022-016","osf::DJFC2","https://osf.io/DJFC2","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/OSF.IO/DJFC2","A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data","https://doi.org/10.5194/agile-giss-3-20-2022","https://openalex.org/W4281951657","Pengxiang Zhao; Aoyong Li; Petter Pilesjö; Ali Mansourian",,"Carlos Granell","0000-0003-1004-9695","The provided workflow was partially reproduced.
Access to a processed data set of the e-scooter sharing vehicle data Service in Stockholm, Sweden, is provided along with Python scripts to run three machine learning methods based on the Python library Scikit-learn.
The results reported here refer to Figure 5, which is a bar chart comparing the performance evaluation metrics (accuracy, F1, precision and recall) of the three ML methods.
Nevertheless, no code is provided to visually recreate the figure, but the scripts produce the required data to create that figure. 
For the rest of figures and tables, no code is provided.
",
"2022-017","osf::WNCSM","https://osf.io/WNCSM","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/wncsm","Traffic Regulation Recognition using Crowd-Sensed GPS and Map Data: a Hybrid Approach","https://doi.org/10.5194/agile-giss-3-22-2022","https://openalex.org/W4281642483","Stefania Zourlidou; Jens Golze; Monika Sester","0000-0003-1759-7379; 0000-0001-7355-351X; 0000-0002-6656-8809","Eftychia Koukouraki","0000-0003-0928-1139","The paper compares several models for traffic control recognition at junctions, which are built upon Random Forest and Gradient Boosting classifiers.
The analysis makes use of 2 datasets, which correspond to the cities of Chicago and Hannover.
The authors agreed to share confidentially all their materials (data and code) with the Reproducibility Committee for the needs of the review.
For the needs of this review, we reproduced all the Tables and Figures of 'Section 5 - Results' and of the Appendix.
The reproduced results were in accordance with the final uploaded version of the manuscript.
Therefore, the reproduction of the paper is considered successful.
",
"2022-018","gitlab::cdchck/community-codechecks/2022-svaRetro-svaNUMT","https://gitlab.com/cdchck/community-codechecks/2022-svaRetro-svaNUMT","journal","GigaByte","2022-09-27","https://doi.org/10.5281/zenodo.7084333","svaRetro and svaNUMT: Modular packages for annotation of retrotransposed transcripts and nuclear integration of mitochondrial DNA in genome sequencing data","https://doi.org/10.46471/gigabyte.70","https://openalex.org/W4301603101","Ruining Dong; Daniel Cameron; Justin Bedo; Anthony T Papenfuss","0000-0003-1433-0484; 0000-0002-0951-7116; 0000-0001-5704-0212; 0000-0002-1102-8506","Raniere Silva","0000-0002-8381-3749","Only visualisation steps performed. All created figures match those in the article.
",
"2023-001","osf::c7vx3","https://osf.io/c7vx3","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/c7vx3","Urban Sound Mapping for Wayfinding - A theoretical Approach and an empirical Study","https://doi.org/10.5194/agile-giss-4-9-2023","https://openalex.org/W4379795573","Eva Nuhn; Kai Hamburger; Sabine Timpf","0000-0003-2443-8122; 0000-0002-7964-4110","Philipp A. Friese","0000-0002-3124-5364","The data of the paper under reproduction is published on figshare under a CC-BY-4.0 license.
In total, three tables, three figures, and two data points embedded into the text are eligible for reproduction.
All have been successfully reproduced. The authors showed concern and dedication to support reproducibility of their work.
Reproduction was successful.
",
"2023-002","osf::rbgvk","https://osf.io/rbgvk","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/rbgvk","Evaluating and Comparing Airspace Structure Visualisation and Perception on Digital Aeronautical Chart","https://doi.org/10.5194/agile-giss-4-12-2023",,"Adrian Sarbach; Thierry Weber; Katharina Henggeler; Luis Lutnyk; Martin Raubal","0000-0002-8381-0863; 0000-0002-9458-8575; 0000-0001-5951-6835","Rémy Decoupes","0000-0003-0863-9581","The purpose of the reviewed article is to evaluate and compare airspace structure visualization and perception on digital aeronautical charts.
To do so, the authors propose two ways.
The first one aims to define an evaluation grid on which they rely, as experts, to establish a cartographic analysis (they authors provide an access to their analysis).
The second is a survey of 27 airplane pilots to collect their perceptions about different maps.
Therefore, the reproducibility review process focused on reproducing the result visualizations of both analyses (the experts and the survey).
To do so, the authors shared manually constructed data files as well as code files to reproduce the figures.
The provided code and data allow to fully and easily reproduce the three figures of the reviewed article.
",
"2023-003","osf::m5bhk","https://osf.io/m5bhk","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/m5bhk","Exploring MapSwipe as a Crowdsourcing Tool for (Rapid) Damage Assessment: The Case of the 2021 Haiti Earthquake","https://doi.org/10.5194/agile-giss-4-5-2023","https://openalex.org/W4379796913","Simon Groß; Benjamin Herfort; Sabrina Marx; Alexander Zipf","0000-0001-9738-4060","Nina Wiedemann","0000-0002-8160-7634","The paper comes with a GitHub repository that mainly includes a jupyter notebook for reproducing the results.
The notebook could be executed right away and is very well-documented.
The outputs of the notebook include examplary data as well as all main plots from the paper.
On request, the authors further added the raw QGIS files for reproducing map-based visualizations, and deposited the code with a DOI (https://zenodo.org/badge/latestdoi/581154837).
Overall, the paper is fully reproducible.
",
"2023-004","osf::2em7v","https://osf.io/2em7v","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/2em7v","Does spatial thinking ability relate to performance when using web-mapping services? A survey with digital natives","https://doi.org/10.5194/agile-giss-4-13-2023","https://openalex.org/W4379797511","Eleni Tomai; Margarita Kokla; Christos Charcharos; Marinos Kavouras","0000-0003-1162-7389; 0000-0002-0369-7099; 0000-0001-7563-0793","Mehtab Alam Syed","0000-0003-3696-0030","The authors provided code and data were able to partially reproduce the results presented in the figures and tables of the reviewed paper, but some of the tables were not fully reproduced.
The paper includes the DASA section.
The author provide all the data and code through figshare.
Both R and RStudio are required for the reproductions of the authors work.
For the reproducibility of the work, the authors provided R script survey_2021.R along with having data in dataset.7z.
",
"2023-005","osf::27wzp","https://osf.io/27wzp","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/27wzp","Advancing Forest Monitoring and Assessment Through Immersive Virtual Reality","https://doi.org/10.5194/agile-giss-4-15-2023","https://openalex.org/W4379647154","Raphael Zürcher; Jiayan Zhao; Alvaro Lau Sarmiento; Benjamin Brede; Alexander Klippel","0000-0002-6206-956X; 0000-0002-8533-6042; 0000-0002-0419-7002; 0000-0001-9253-4517; 0000-0002-7171-492X","Philipp A. Friese","0000-0002-3124-5364","The data of the paper under reproduction is partially published on Zenodo under a CC-BY-4.0 license.
Data on the selected plots displayed in Figure 1 is not available due to intellectual property concerns.
The developed VR application is not available due to size and time constraints, therefore neither Figure 1 or 2 could be reproduced.
Statistical analyses presented in Section 2.2 and Section 3 have been successfully reproduced.
The authors showed dedication to support reproducibility of their work.
Reproduction was partially successful.
",
"2023-006","osf::d2shf","https://osf.io/d2shf","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/OSF.IO/D2SHF","Semantic complexity of geographic questions - A comparison in terms of conceptual transformations of answers","https://doi.org/10.5194/agile-giss-4-10-2023","https://openalex.org/W4379794592","Enkhbold Nyamsuren; Haiqi Xu; Eric J. Top; Simon Scheider; Niels Steenbergen",,"Philipp A. Friese; Jakub Krukar","0000-0002-3124-5364; 0000-0003-2615-8757","The data and software of the paper under reproduction is published on GitHub under an MIT license.
All figures, tables, and embedded data points have been reproduced.
The authors showed dedication and concern to support reproducibility of their work.
Reproduction was successful.
",
"2023-007","osf::eu8kw","https://osf.io/eu8kw","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/eu8kw","Extreme heat alerts and impacts across Mozambique 2016 - 2022: gathering evidence from media articles","https://doi.org/10.5194/agile-giss-4-11-2023","https://openalex.org/W4379798521","Carolina Pereira Marghidan; Maarten van Aalst; Justine Blanford; Genito Maure; Tatiana Marrufo","0000-0003-4427-4065; 0000-0003-0319-5627; 0000-0003-0844-9390","Eftychia Koukouraki","0000-0003-0928-1139","The paper elaborates on the data collection about extreme heat alerts in Mozambique from different media sources and subsequently overlays the collected datasets.
After manual data collection, the data were gathered and analysed in spreadsheets and then shared via Github under CC BY 4.0.
For this reproducibility review, we attempted to reproduce Figures 1-4 and Table 2.
Since the data processing steps were not detailed enough in the README files provided by the corresponding author, in most cases we managed to do a verification of the results, rather than a reproduction.
For this reason, the reproduction of this paper can be considered only partially successful.
",
"2023-008","osf::aqgxr","https://osf.io/aqgxr","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/aqgxr","Is it safe to be attractive? Disentangling the influence of streetscape features on the perceived safety and attractiveness of city streets","https://doi.org/10.5194/agile-giss-4-8-2023","https://openalex.org/W4379802106","Vasileios Milias; Shahin Sharifi Noorian; Alessandro Bozzon; Achilleas Psyllidis",,"Rémy Decoupes","0000-0003-0863-9581","The code and data provided by the authors allow to fully reproduce their work as presented in the reviewed paper.
The authors shared two repositories through github. The first one, called subjectivity, aims to build and run a whole web application (with database and a front web application).
This web application allows to collect annotations from surveyed persons by proposing them different pictures of places through a track (see Fig. 1).
The screenshot from the manuscript Figure 1 could be partially reproduced by this web application since the data used by the authors are not publicy available.
The second repository, streetception, proposes two notebook in order to reproduce the analysis of the data collected by the authors through their web application.
The authors have made significant efforts to improve their code and data sharing through the AGILE reproducibility process!
",
"2023-009","osf::9kp7u","https://osf.io/9kp7u","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/9kp7u","Analysis of cycling network evolution in OpenStreetMap through a data quality prism","https://doi.org/10.5194/agile-giss-4-3-2023",,"Raphaël Bres; Veronika Peralta; Arnaud Le-Guilcher; Thomas Devogele; Ana-Maria Olteanu Raimond; Cyril de Runz","0000-0001-5597-8602; 0000-0002-9236-9088; 0000-0001-6673-6158; 0000-0001-9187-8385; 0000-0002-1101-1333; 0000-0002-5951-6859","Alexander Kmoch","0000-0003-4386-4450","The authors execute their study fully within a framework of open source geospatial software.
The study is reproducible and the authors provide provide 2 scripts that query and subsequently visualise aspects of the data.
Furthermore, they provide a How-to / Readme file that made it easy to reproduce.
The main challenges in reproduction were related to acquiring the correct data and the handling of the OSRM software.
This was overcome jointly through authors communication and fortunate experience with the Docker ecosystem of the reviewer.
The data analysis and visualisation was straightforward and the results were consistent with the original paper.
Figures 4a and 4b are reproduced.
",
"2023-010","osf::8t3bh","https://osf.io/8t3bh","conference","AGILEGIS","2023-06-13","https://doi.org/10.17605/osf.io/8t3bh","Indoor localisation and location tracking in indoor facilities based on LiDAR point clouds and images of the ceilings","https://doi.org/10.5194/agile-giss-4-4-2023","https://openalex.org/W4379802617","Ioannis Dardavesis; Edward Verbree; Azarakhsh Rafiee",,"Nina Wiedemann","0000-0002-8160-7634","The paper is accompanied by a GitHub repository with front end and back end code of their indoor localization app.
The code was not executable first, but installation instructions were added and file paths were fixed upon exchange with the authors.
The results reported in the paper are partially reproducible with the provided code.
The code mainly yields examples that are similar but not the same as in the paper, due to randomness in the algorithms.
One script allows to reproduce a figure exactly, while other quantitative results (tables in the paper) can not be created with the code.
However,  given the instructions in the README and the example data, the repository can be very useful for researchers who want to apply the pipeline on their own data.
",
"2023-011","github::codecheckers/rmr-solver","https://github.com/codecheckers/rmr-solver","community","preprint","2023-09-18","https://doi.org/10.5281/zenodo.8359199","Does enforcing glenohumeral joint stability matter? A new rapid muscle redundancy solver highlights the importance of non-superficial shoulder muscles","https://doi.org/10.1101/2023.07.11.548542","https://openalex.org/W4384205770","Italo Belli; Ajay Seth","0000-0002-8064-2251; 0000-0003-4217-1580","Stephen J. Eglen","0000-0001-8607-8025","Codecheck performed interactively as part of the Delft 2023 workshop. The codecheck was undertaken with the first author observing and able to help fix issues. This meant that the codecheck was fairly quick and any issues were resolved fairly quickly. With some fixes, the code was confirmed to work and Figure 3 could be reproduced with some visual differences due to post-processing of the figures before publication, as was confirmed by the author.
",
"2023-012","github::codecheckers/leba-manuscript","https://github.com/codecheckers/leba-manuscript","community","preprint","2023-11-26","https://doi.org/10.5281/zenodo.10213244","An inventory of human light exposure related behaviour","https://doi.org/10.1038/s41598-023-48241-y","https://openalex.org/W4389674756","Mushfiqul Anwar Siraji; Rafael Lazar; Juliëtte van Duijnhoven; Luc Schlangen; Shamsul Haque; Vineetha Kalavally; Celine Vetter; Gena Glickman; Karin Smolders; Manuel Spitschan","0000-0003-0127-9982; 0000-0001-7972-5634; 0000-0002-8572-9268","Stephen J. Eglen","0000-0001-8607-8025","Comprehensive reproduction of RMarkdown document; biggest concerns found with Linux versions of R package ""gt"".
",
"2024-001","github::codecheckers/LazarEtAl_RSocOpenSci_2024","https://github.com/codecheckers/LazarEtAl_RSocOpenSci_2024","community","preprint","2024-03-15","https://doi.org/10.5281/zenodo.10823246","Regulation of pupil size in natural vision across the human lifespan","https://doi.org/10.1098/rsos.191613","https://openalex.org/W4399759705","Rafael Lazar; Manuel Spitschan","0000-0001-7972-5634; 0000-0002-8572-9268","Stephen J. Eglen","0000-0001-8607-8025","R code to generate all of the key figures in the paper.
",
"2024-002","github::codecheckers/domestic.wastewater.variability","https://github.com/codecheckers/domestic.wastewater.variability","community","codecheck NL","2020-05-21","https://doi.org/10.5281/zenodo.FIXME","Modeling spatiotemporal domestic wastewater variability: Implications for measuring treatment efficiency","https://doi.org/10.1016/j.jenvman.2023.119680","https://openalex.org/W4389355529","Néstor DelaPaz-Ruíz; Ellen-Wien Augustijn; Mahdi Farnaghi; Raul Zurita-Milla","0000-0002-8941-4677; 0000-0002-3389-7585; 0000-0002-3071-5563; 0000-0002-1769-6310","Stephen J. Eglen","0000-0001-8607-8025","tbd
",
"2024-003","github::codecheckers/sddtmpc","https://github.com/codecheckers/sddtmpc","community","codecheck NL","2024-05-30","https://doi.org/10.5281/zenodo.11403956","State-Dependent Dynamic Tube MPC: A Novel Tube MPC Method with a Fuzzy Model of Disturbances","https://arxiv.org/pdf/2310.19997",,"Filip Surma; Anahita Jamshidnejad","0000-0002-6756-9598; 0000-0001-9151-2607","Stephen J. Eglen; Delft 2024-05 participants","0000-0001-8607-8025","Matlab code, requiring 3 additional toolboxes.  Case study 2 only. Full reproduction possible, takes about 2 hours to run
",
"2024-004","github::codecheckers/scope","https://github.com/codecheckers/scope","institution","AUMC","2024-08-01","https://doi.org/10.5281/zenodo.13364677","Open Science interventions to improve reproducibility and replicability of research: a scoping review preprint","https://doi.org/10.31222/osf.io/a8rmu","https://openalex.org/W4399757027","Leonie Dudda; Eva Kormann; Magdalena Kozula; Nicholas J. DeVito; Thomas Klebe; Ayu P.M. Dewi; René Spijker; Inge Stegeman; Veerle Van den Eynden; Tony Ross-Hellauer; Mariska M.G. Leeflang",,"Sam Langton","0000-0002-1322-1553","Codecheck performed on two .qmd files containing R code from a public GitHub repository for a scoping review pre-print.
",
"2024-005","github::codecheckers/sample-size-codecheck","https://github.com/codecheckers/sample-size-codecheck","community","codecheck","2024-10-15","https://doi.org/10.5281/zenodo.13945051","Sample size estimation for task-related functional MRI studies using Bayesian updating.","https://doi.org/10.31234/osf.io/cz32t","https://openalex.org/W4400463622","Eduard Klapwijk; Joran Jongerling; Herbert Hoijtink; Eveline Crone","0000-0002-8936-0365; 0000-0001-5697-1381; 0000-0001-8509-1973; 0000-0002-7508-6078","Lukas Röseler","0000-0002-6446-1901","This report checks the code of the article Sample size estimation for task-related functional MRI studies using Bayesian updating. (https://doi.org/10.31234/osf.io/cz32t (currently under review at Developmental Cognitive Neuroscience)). See section Notes for details about running the code. The CODECHECK was successful. The created figures figures_cohens_d.html and figures-correlations.html are visually very close to the one in the repository. The reproduction of the figures from the repository was easy due to the workflow and integration with Quarto and RStudio.
",
"2024-006","osf::ymc3t","https://osf.io/ymc3t","conference","AGILEGIS","2024-05-23","https://doi.org/10.17605/OSF.IO/YMC3T","Random Data Distribution for Efficient Parallel Point Cloud Processing","https://doi.org/10.5194/agile-giss-5-15-2024","https://openalex.org/W4399177594","Balthasar Teuscher; Martin Werner","0000-0002-2811-1920","Carlos Granell","0000-0003-1004-9695","The workflow provided was partially reproduced in the sense that I was able to reproduce the system reported in the paper qualitatively.
That is, I did not reproduce the experiment or other results (figures, etc.) included in the article, but I was able to set up and run the system described in the paper and test it with some query samples.
Therefore, by doing this, this report ensures that the system works as described in the manuscript.
",
"2024-007","osf::gvpd9","https://osf.io/gvpd9","conference","AGILEGIS","2024-05-23","https://doi.org/10.17605/OSF.IO/GVPD9","FreeMapRetrieve: Freehand Gestures for Retrieve Operations in Large-Screen Map Environments","https://doi.org/10.5194/agile-giss-5-7-2024","https://openalex.org/W4399157471","Jonas Hurst; Auriol Degbelo; Christian Kray","0009-0000-0004-0051; 0000-0001-5087-8776; 0000-0002-4199-8976","Carlos Granell","0000-0003-1004-9695","The workflow provided was partially reproduced in the sense that I was able to reproduce the data analysis of the user assessment.
The manuscript also described a prototype system that required specific hardware, therefore, I skipped this part.
",
"2024-008","osf::3nbjw","https://osf.io/3nbjw","conference","AGILEGIS","2024-05-23","https://doi.org/10.17605/OSF.IO/3NBJW","Knowledge-Based Identification of Urban Green Spaces: Allotments","https://doi.org/10.5194/agile-giss-5-8-2024","https://openalex.org/W4399178759","Irada Ismayilova; Sabine Timpf","0000-0003-4414-4084; 0000-0002-7964-4110","Frank O. Ostermann","0000-0002-9317-8291","The paper addresses the issue that allotment gardens are not recognized as separate land use / land  cover category, although they are unique among urban green spaces and provide highly significant benefits.
The research uses a three-step procedure: First, a random forest classifier identifies green spaces from digital orthophotos; second, garden huts are extracted; and third, a density-based clustering identifies areas of allotment gardens.
The computational environment relies on a mix of free and open source software (R software for the random forest classification) and proprietary GIS software (ESRI ArcGIS for the height thresholds, refinement of the classification, and density-based clustering).

Upon request, the authors provided the digital orthophoto, training data and code for step one, as  well as a sample data set (smaller area) and executable workflow for the ArcGIS Modelbuilder as an  ArcGIS project package.
The reproducibility review can confirm that that the analysis runs as intended, but not check the validity of the outputs shown in the paper. 
All the provided code was run and executes without errors, generating valid output.
The clustering  algorithm does not find any clusters, but that may be due to the small size of the sample area. 
This reproducibility review was thus able to validate the entire analysis workflow. With the provided  documentation, code, and sample data (see references), other researchers should be able to succeed in replicating the results. The functionality used in the proprietary software is available in free and  open software packages and can thus be implemented without access to ArcGIS.
",
"2024-009","osf::csb7r","https://osf.io/csb7r","conference","AGILEGIS","2024-05-23","https://doi.org/10.17605/osf.io/CSB7R","Developing a city-specific walkability index through a participatory approach","https://doi.org/10.5194/agile-giss-5-2-2024","https://openalex.org/W4399157568","Matias Cardoso1; Vasileios Milias; Maurice Harteveld",,"Frank Ostermann","0000-0002-9317-8291","The paper investigates to improve on walkability indices that consider city-specifics.
It employs a  mixed methods approach, starting with a literature review to identify relevant elements, followed by participatory sessions with urban planners and policymakers to determine factors for the case study of Amsterdam.
In a last step, the authors quantify these factors and calculate walkability scores for the study area.
The first two steps in the research design are out of scope of this reproducibility review, which focuses on the computational reproducibility of the quantitative analysis (phase C in Figure 1 of the paper).

The authors provide data sets in the repository to execute the steps of normalization, calculation, and visualization.
A visual inspection using QGIS shows similar patterns of walkability scores. 

This reproducibility review was thus only able to validate part of the workflow. However, given that the input data is in principle openly available, the manual analysis steps are standard operations with documented parameters, the computations are deterministic, and all tools and software are free and open source, this review can conclude that the quantitative analysis part of the paper is reproducible. 
",
"2024-010","osf::nbk57","https://osf.io/nbk57","conference","AGILEGIS","2024-05-27","https://doi.org/10.17605/osf.io/NBK57","Enhancing toponym identification: Leveraging Topo-BERT and open-source data to differentiate between toponyms and extract spatial relationships","https://doi.org/10.5194/agile-giss-5-12-2024","https://openalex.org/W4399157460","Joseph Shingleton; Ana Basiri","0000-0002-1628-3231; 0000-0002-2399-1797","Rémy Decoupes","0000-0003-0863-9581","As indicated in the Data and Software Availability section, the authors shared their code, data, and trained models through an OSF (Open Science Framework) repository.
Through 4 notebooks, we were able to train two baseline models and then create a new training dataset to train the proposed model by the authors.
These models were then compared with human evaluation (through shared data).
Evaluating the reproducibility of this article was not an easy task.
In fact, this processing chain requires a lot of computational resources and time for its execution.
Another difficulty was that the notebooks and Python library developed by the authors and shared via OSF contained some errors.
However, the authors accompanied me throughout this process, providing new versions of the code files to correct the errors I encountered.
My feeling is that the reproducibility review process was beneficial.
The scientific article was almost entirely reproduced
",
"2024-011","osf::fmgb4","https://osf.io/fmgb4","conference","AGILEGIS","2024-05-27","https://doi.org/10.17605/osf.io/FMGB4","Process Analysis in Humanitarian Voluntary Geographic Information: the case of the HOT Tasking Manager","https://doi.org/10.5194/agile-giss-5-5-2024","https://openalex.org/W4399177945","Dagoberto José Herrera-Murillo; Héctor Ochoa-Ortiz; Umair Ahmed; Francisco Javier López-Pellicer; Barbara Re; Andrea Polini; Javier Nogueras-Iso","0000-0002-8000-628X; 0000-0002-6477-0683; 0000-0003-2260-2777; 0000-0001-6491-7430; 0000-0001-5374-2364; 0000-0002-2840-7561; 0000-0002-1279-0367","Rémy Decoupes","0000-0003-0863-9581","The authors made their code available through a GitHub repository.
The Readme.md file provides clear instructions for executing the entire code. It is worth noting that the input data is available provided that accounts are created with HOTOSM and Bunting Labs.
The data retrieval process takes a long time.
Therefore, the authors provided me with all the input data for my review.
I did not encounter any difficulties in executing the Python notebooks.
As a result, I produced intermediate data (in 4 CSV files). Unfortunately, I encountered some blocking errors when executing the R Markdown (which is the notebook responsible for producing tables and figures of the manuscript).
Assisted by the authors, we discovered that the errors were caused by the content of the intermediate files I had generated.
Strictly speaking, since the authors shared all their input data with me, I should not have encountered these errors.
To continue my review, the authors sent me their version of the intermediate files.
Thanks to them, I was able to execute the entire R Markdown and generate all the tables and figures.
",
"2024-012","osf::w42ad","https://osf.io/w42ad","conference","AGILEGIS","2024-05-30","https://doi.org/10.17605/osf.io/W42AD","The Impact of Traffic Lights on Modal Split and Route Choice: A use-case in Vienna","https://doi.org/10.5194/agile-giss-5-4-2024","https://openalex.org/W4399157664","Ioanna Gogousou; Manuela Canestrini; Negar Alinaghi; Dimitrios Michail; Ioannis Giannopoulos",,"Eftychia Koukouraki","0000-0003-0928-1139","The paper investigates the impact of different traffic light waiting times on individuals’ choice of transportation mode (e.g., bicycle, bus, car, etc.).
The calculations of this study are based on Open Street Map (OSM) data analysed with Dijkstra’s algorithm.
The data, code, and intermediate results have been made publicly available by the authors under permissive licenses (CC BY 4.0 and MIT).
For the purposes of this reproducibility review, we verified the functionality of all scripts and the reported results in Figures 1-5 and in Table 2.
The reproduced results were in accordance with the reported results and therefore the reproduction of the paper is considered successful.
",
